Execution,ID,Interval,Transfer,Bandwidth
0,2,27.0000,2.36 MBytes,19.8 Mbits/sec
0,1,27.0000,2.42 MBytes,20.3 Mbits/sec
0,4,27.0000,2.61 MBytes,21.9 Mbits/sec
0,2,28.0000,2.75 MBytes,23.1 Mbits/sec
0,1,28.0000,2.75 MBytes,23.1 Mbits/sec
0,4,28.0000,2.68 MBytes,22.5 Mbits/sec
0,3,28.0000,4.11 MBytes,34.5 Mbits/sec
0,2,29.0000,2.73 MBytes,22.9 Mbits/sec
0,1,29.0000,2.73 MBytes,22.9 Mbits/sec
0,4,29.0000,2.75 MBytes,23.1 Mbits/sec
0,3,29.0000,2.75 MBytes,23.1 Mbits/sec
0,2,30.0000,2.73 MBytes,22.9 Mbits/sec
0,1,30.0000,2.75 MBytes,23.1 Mbits/sec
0,4,30.0000,2.75 MBytes,23.1 Mbits/sec
0,3,30.0000,2.75 MBytes,23.1 Mbits/sec
0,1,31.0000,2.52 MBytes,21.2 Mbits/sec
0,2,31.0000,2.61 MBytes,21.9 Mbits/sec
0,4,31.0000,2.75 MBytes,23.1 Mbits/sec
0,3,31.0000,2.62 MBytes,22.0 Mbits/sec
0,2,32.0000,2.55 MBytes,21.4 Mbits/sec
0,1,32.0000,2.67 MBytes,22.4 Mbits/sec
0,4,32.0000,2.75 MBytes,23.1 Mbits/sec
0,3,32.0000,2.68 MBytes,22.5 Mbits/sec
0,2,33.0000,2.68 MBytes,22.5 Mbits/sec
0,1,33.0000,2.61 MBytes,21.9 Mbits/sec
0,4,33.0000,2.75 MBytes,23.1 Mbits/sec
0,3,33.0000,2.61 MBytes,21.9 Mbits/sec
0,1,34.0000,2.67 MBytes,22.4 Mbits/sec
0,2,34.0000,2.66 MBytes,22.3 Mbits/sec
0,4,34.0000,2.75 MBytes,23.1 Mbits/sec
0,3,34.0000,2.67 MBytes,22.4 Mbits/sec
0,2,35.0000,2.67 MBytes,22.4 Mbits/sec
0,3,35.0000,2.61 MBytes,21.9 Mbits/sec
0,1,35.0000,4.05 MBytes,33.9 Mbits/sec
0,2,36.0000,2.68 MBytes,22.5 Mbits/sec
0,4,36.0830,2.35 MBytes,9.45 Mbits/sec
0,4,36.0830,100 MBytes,23.2 Mbits/sec
0,1,36.0000,2.42 MBytes,20.3 Mbits/sec
0,3,36.7428,2.33 MBytes,11.2 Mbits/sec
0,3,36.7428,100 MBytes,22.8 Mbits/sec
0,1,37.1766,1.22 MBytes,8.73 Mbits/sec
0,1,37.1766,100 MBytes,22.6 Mbits/sec
0,2,37.1926,2.44 MBytes,17.2 Mbits/sec
0,2,37.1926,100 MBytes,22.6 Mbits/sec
1,4,1.0000,4.50 MBytes,37.7 Mbits/sec
1,1,1.0000,4.38 MBytes,36.7 Mbits/sec
1,2,1.0000,4.38 MBytes,36.7 Mbits/sec
1,3,1.0000,4.63 MBytes,38.8 Mbits/sec
1,1,2.0000,3.38 MBytes,28.3 Mbits/sec
1,2,2.0000,3.38 MBytes,28.3 Mbits/sec
1,4,2.0000,3.62 MBytes,30.4 Mbits/sec
1,3,2.0000,3.38 MBytes,28.3 Mbits/sec
1,4,3.0000,2.68 MBytes,22.5 Mbits/sec
1,1,3.0000,2.75 MBytes,23.1 Mbits/sec
1,2,3.0000,2.74 MBytes,23.0 Mbits/sec
1,3,3.0000,2.61 MBytes,21.9 Mbits/sec
1,4,4.0000,2.36 MBytes,19.8 Mbits/sec
1,1,4.0000,2.41 MBytes,20.3 Mbits/sec
1,2,4.0000,2.55 MBytes,21.4 Mbits/sec
1,3,4.0000,2.48 MBytes,20.8 Mbits/sec
1,4,5.0000,2.67 MBytes,22.4 Mbits/sec
1,1,5.0000,2.67 MBytes,22.4 Mbits/sec
1,2,5.0000,2.55 MBytes,21.4 Mbits/sec
1,3,5.0000,2.49 MBytes,20.9 Mbits/sec
1,3,6.0000,2.37 MBytes,19.9 Mbits/sec
1,4,6.0000,4.18 MBytes,35.1 Mbits/sec
1,1,6.0000,3.42 MBytes,28.7 Mbits/sec
1,2,6.0000,3.29 MBytes,27.6 Mbits/sec
1,3,7.0000,2.48 MBytes,20.8 Mbits/sec
1,4,7.0000,4.12 MBytes,34.6 Mbits/sec
1,1,7.0000,2.36 MBytes,19.8 Mbits/sec
1,2,7.0000,2.11 MBytes,17.7 Mbits/sec
1,4,8.0000,2.75 MBytes,23.1 Mbits/sec
1,3,8.0000,2.30 MBytes,19.3 Mbits/sec
1,1,8.0000,2.36 MBytes,19.8 Mbits/sec
1,2,8.0000,2.61 MBytes,21.9 Mbits/sec
1,2,9.0000,1.18 MBytes,9.90 Mbits/sec
1,4,9.0000,4.12 MBytes,34.6 Mbits/sec
