Execution,ID,Interval,Transfer,Bandwidth
1,4,11.0000,4.00,33.6
1,3,11.0000,2.42,20.3
1,1,11.0000,2.36,19.8
1,2,12.0000,2.24,18.8
1,4,12.0000,4.12,34.6
1,3,12.0000,2.11,17.7
1,1,12.0000,2.36,19.8
1,1,13.0000,0.931,7.81
1,2,13.0000,2.11,17.7
1,4,13.0000,4.12,34.6
1,3,13.0000,2.36,19.8
1,1,14.0000,2.11,17.7
1,2,14.0000,2.30,19.3
1,3,14.0000,2.36,19.8
1,4,14.0000,4.12,34.6
1,1,15.0000,2.36,19.8
1,2,15.0000,2.36,19.8
1,4,15.0000,4.12,34.6
1,3,15.0000,2.24,18.8
1,1,16.0000,2.42,20.3
1,2,16.0000,2.36,19.8
1,4,16.0000,4.00,33.6
1,3,16.0000,2.17,18.2
1,1,17.0000,2.55,21.4
1,2,17.0000,2.30,19.3
1,3,17.0000,2.30,19.3
1,4,17.0000,4.12,34.6
1,4,18.0000,2.75,23.1
1,3,18.0000,2.42,20.3
1,1,18.0000,3.42,28.7
1,2,18.0000,2.98,25.0
1,4,19.0000,3.96,33.2
1,1,19.0000,2.55,21.4
1,3,19.0000,2.24,18.8
1,2,19.0000,2.36,19.8
1,1,20.0000,2.75,23.1
1,3,20.0000,2.42,20.3
1,4,20.0000,4.12,34.6
1,2,20.0000,1.55,13.0
1,2,21.0000,0.746,6.26
1,4,21.0000,2.75,23.1
1,1,21.0000,4.12,34.6
1,3,21.0000,2.17,18.2
1,2,22.0000,1.43,12.0
1,1,22.0000,2.62,22.0
1,3,22.0000,2.36,19.8
1,4,22.0000,3.86,32.4
1,2,23.0000,1.68,14.1
1,1,23.0000,4.37,36.6
1,3,23.0000,2.12,17.8
1,4,23.0000,3.62,30.4
1,2,24.0000,1.68,14.1
1,1,24.0000,4.12,34.6
1,3,24.0000,2.29,19.2
1,4,24.0000,2.75,23.1
1,4,25.0000,2.75,23.1
1,2,25.0000,1.74,14.6
1,3,25.0000,2.11,17.7
1,1,25.0000,4.00,33.6
1,2,26.0000,1.74,14.6
1,3,26.0000,1.93,16.2
1,1,26.0000,4.12,34.6
1,4,26.0000,3.99,33.5
1,1,27.0000,2.75,23.1
1,2,27.0000,1.43,12.0
1,4,27.0000,2.73,22.9
1,3,27.0000,2.18,18.3
