ID,Interval,Num_Fluxos,Bandwidth_Total,Fluxos_Detalhes
0,0.0000-1.0000,4,3.39453125,Fluxo 1: 0.849 Mbits/s; Fluxo 2: 0.849 Mbits/s; Fluxo 3: 0.849 Mbits/s; Fluxo 4: 0.849 Mbits/s
0,1.0000-2.0000,4,15.23,Fluxo 1: 4.070 Mbits/s; Fluxo 2: 4.070 Mbits/s; Fluxo 3: 3.020 Mbits/s; Fluxo 4: 4.070 Mbits/s
0,2.0000-3.0000,4,28.17,Fluxo 1: 6.780 Mbits/s; Fluxo 2: 6.780 Mbits/s; Fluxo 3: 7.830 Mbits/s; Fluxo 4: 6.780 Mbits/s
0,3.0000-4.0000,4,54.2,Fluxo 1: 10.400 Mbits/s; Fluxo 2: 10.400 Mbits/s; Fluxo 3: 10.400 Mbits/s; Fluxo 4: 23.000 Mbits/s
0,4.0000-5.0000,4,35.9,Fluxo 1: 8.860 Mbits/s; Fluxo 2: 8.860 Mbits/s; Fluxo 3: 8.860 Mbits/s; Fluxo 4: 9.320 Mbits/s
0,5.0000-6.0000,4,40.15,Fluxo 1: 9.380 Mbits/s; Fluxo 2: 7.290 Mbits/s; Fluxo 3: 9.380 Mbits/s; Fluxo 4: 14.100 Mbits/s
0,6.0000-7.0000,4,28.65,Fluxo 1: 5.210 Mbits/s; Fluxo 2: 7.310 Mbits/s; Fluxo 3: 5.730 Mbits/s; Fluxo 4: 10.400 Mbits/s
0,7.0000-8.0000,4,47.1,Fluxo 1: 11.500 Mbits/s; Fluxo 2: 11.500 Mbits/s; Fluxo 3: 11.000 Mbits/s; Fluxo 4: 13.100 Mbits/s
0,8.0000-9.0000,4,45.29,Fluxo 1: 8.840 Mbits/s; Fluxo 2: 6.750 Mbits/s; Fluxo 3: 12.000 Mbits/s; Fluxo 4: 17.700 Mbits/s
0,9.0000-10.0000,4,44.28,Fluxo 1: 10.400 Mbits/s; Fluxo 2: 12.500 Mbits/s; Fluxo 3: 6.780 Mbits/s; Fluxo 4: 14.600 Mbits/s
0,10.0000-11.0000,4,50.1,Fluxo 1: 11.500 Mbits/s; Fluxo 2: 11.500 Mbits/s; Fluxo 3: 12.000 Mbits/s; Fluxo 4: 15.100 Mbits/s
0,11.0000-12.0000,4,47.92,Fluxo 1: 7.270 Mbits/s; Fluxo 2: 6.750 Mbits/s; Fluxo 3: 10.900 Mbits/s; Fluxo 4: 23.000 Mbits/s
0,12.0000-13.0000,4,53.73,Fluxo 1: 11.000 Mbits/s; Fluxo 2: 11.500 Mbits/s; Fluxo 3: 7.830 Mbits/s; Fluxo 4: 23.400 Mbits/s
0,13.0000-14.0000,4,72.1,Fluxo 1: 15.700 Mbits/s; Fluxo 2: 15.700 Mbits/s; Fluxo 3: 14.100 Mbits/s; Fluxo 4: 26.600 Mbits/s
0,14.0000-15.0000,4,47.9,Fluxo 1: 8.840 Mbits/s; Fluxo 2: 8.860 Mbits/s; Fluxo 3: 13.000 Mbits/s; Fluxo 4: 17.200 Mbits/s
0,15.0000-16.0000,4,98.69999999999999,Fluxo 1: 20.400 Mbits/s; Fluxo 2: 20.900 Mbits/s; Fluxo 3: 27.700 Mbits/s; Fluxo 4: 29.700 Mbits/s
0,16.0000-17.0000,4,90.4,Fluxo 1: 25.600 Mbits/s; Fluxo 2: 25.000 Mbits/s; Fluxo 3: 14.600 Mbits/s; Fluxo 4: 25.200 Mbits/s
0,17.0000-18.0000,4,81.0,Fluxo 1: 15.100 Mbits/s; Fluxo 2: 14.600 Mbits/s; Fluxo 3: 26.800 Mbits/s; Fluxo 4: 24.500 Mbits/s
0,18.0000-19.0000,4,78.2,Fluxo 1: 16.800 Mbits/s; Fluxo 2: 19.300 Mbits/s; Fluxo 3: 16.500 Mbits/s; Fluxo 4: 25.600 Mbits/s
0,19.0000-20.0000,4,43.64,Fluxo 1: 10.800 Mbits/s; Fluxo 2: 7.440 Mbits/s; Fluxo 3: 14.700 Mbits/s; Fluxo 4: 10.700 Mbits/s
0,20.0000-21.0000,4,126.6,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 29.400 Mbits/s; Fluxo 3: 29.400 Mbits/s; Fluxo 4: 33.200 Mbits/s
0,21.0000-22.0000,4,90.6,Fluxo 1: 15.000 Mbits/s; Fluxo 2: 24.800 Mbits/s; Fluxo 3: 28.800 Mbits/s; Fluxo 4: 22.000 Mbits/s
0,22.0000-23.0000,4,85.9,Fluxo 1: 15.600 Mbits/s; Fluxo 2: 19.700 Mbits/s; Fluxo 3: 20.500 Mbits/s; Fluxo 4: 30.100 Mbits/s
0,23.0000-24.0000,4,92.3,Fluxo 1: 17.800 Mbits/s; Fluxo 2: 23.100 Mbits/s; Fluxo 3: 22.000 Mbits/s; Fluxo 4: 29.400 Mbits/s
0,24.0000-25.0000,4,59.7,Fluxo 1: 14.600 Mbits/s; Fluxo 2: 18.800 Mbits/s; Fluxo 3: 16.200 Mbits/s; Fluxo 4: 10.100 Mbits/s
0,25.0000-26.0000,4,106.3,Fluxo 1: 13.600 Mbits/s; Fluxo 2: 31.300 Mbits/s; Fluxo 3: 31.000 Mbits/s; Fluxo 4: 30.400 Mbits/s
0,26.0000-27.0000,4,84.78,Fluxo 1: 7.780 Mbits/s; Fluxo 2: 23.100 Mbits/s; Fluxo 3: 25.600 Mbits/s; Fluxo 4: 28.300 Mbits/s
0,27.0000-28.0000,4,87.30000000000001,Fluxo 1: 12.500 Mbits/s; Fluxo 2: 28.600 Mbits/s; Fluxo 3: 23.100 Mbits/s; Fluxo 4: 23.100 Mbits/s
0,28.0000-29.0000,4,86.87,Fluxo 1: 7.270 Mbits/s; Fluxo 2: 18.700 Mbits/s; Fluxo 3: 30.200 Mbits/s; Fluxo 4: 30.700 Mbits/s
0,29.0000-30.0000,4,78.9,Fluxo 1: 14.100 Mbits/s; Fluxo 2: 23.100 Mbits/s; Fluxo 3: 19.700 Mbits/s; Fluxo 4: 22.000 Mbits/s
0,30.0000-31.0000,4,99.1,Fluxo 1: 13.600 Mbits/s; Fluxo 2: 30.800 Mbits/s; Fluxo 3: 32.300 Mbits/s; Fluxo 4: 22.400 Mbits/s
0,31.0000-32.0000,4,83.44,Fluxo 1: 8.340 Mbits/s; Fluxo 2: 19.700 Mbits/s; Fluxo 3: 21.800 Mbits/s; Fluxo 4: 33.600 Mbits/s
