ID,Interval,Num_Fluxos,Bandwidth_Total,Fluxos_Detalhes
0,32.0000-33.0000,4,89.4,Fluxo 1: 21.900 Mbits/s; Fluxo 2: 22.500 Mbits/s; Fluxo 3: 21.900 Mbits/s; Fluxo 4: 23.100 Mbits/s
0,33.0000-34.0000,4,90.2,Fluxo 1: 22.400 Mbits/s; Fluxo 2: 22.300 Mbits/s; Fluxo 3: 22.400 Mbits/s; Fluxo 4: 23.100 Mbits/s
0,34.0000-35.0000,3,78.19999999999999,Fluxo 1: 33.900 Mbits/s; Fluxo 2: 22.400 Mbits/s; Fluxo 3: 21.900 Mbits/s
0,34.0000-36.0830,1,9.45,Fluxo 4: 9.450 Mbits/s
0,35.0000-36.0000,2,42.8,Fluxo 1: 20.300 Mbits/s; Fluxo 2: 22.500 Mbits/s
0,35.0000-36.7428,1,11.2,Fluxo 3: 11.200 Mbits/s
0,36.0000-37.1766,1,8.73,Fluxo 1: 8.730 Mbits/s
0,36.0000-37.1926,1,17.2,Fluxo 2: 17.200 Mbits/s
1,0.0000-1.0000,4,149.9,Fluxo 1: 36.700 Mbits/s; Fluxo 2: 36.700 Mbits/s; Fluxo 3: 38.800 Mbits/s; Fluxo 4: 37.700 Mbits/s
1,1.0000-2.0000,4,115.3,Fluxo 1: 28.300 Mbits/s; Fluxo 2: 28.300 Mbits/s; Fluxo 3: 28.300 Mbits/s; Fluxo 4: 30.400 Mbits/s
1,2.0000-3.0000,4,90.5,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 23.000 Mbits/s; Fluxo 3: 21.900 Mbits/s; Fluxo 4: 22.500 Mbits/s
1,3.0000-4.0000,4,82.3,Fluxo 1: 20.300 Mbits/s; Fluxo 2: 21.400 Mbits/s; Fluxo 3: 20.800 Mbits/s; Fluxo 4: 19.800 Mbits/s
1,4.0000-5.0000,4,87.1,Fluxo 1: 22.400 Mbits/s; Fluxo 2: 21.400 Mbits/s; Fluxo 3: 20.900 Mbits/s; Fluxo 4: 22.400 Mbits/s
1,5.0000-6.0000,4,111.3,Fluxo 1: 28.700 Mbits/s; Fluxo 2: 27.600 Mbits/s; Fluxo 3: 19.900 Mbits/s; Fluxo 4: 35.100 Mbits/s
1,6.0000-7.0000,4,92.9,Fluxo 1: 19.800 Mbits/s; Fluxo 2: 17.700 Mbits/s; Fluxo 3: 20.800 Mbits/s; Fluxo 4: 34.600 Mbits/s
1,7.0000-8.0000,4,84.1,Fluxo 1: 19.800 Mbits/s; Fluxo 2: 21.900 Mbits/s; Fluxo 3: 19.300 Mbits/s; Fluxo 4: 23.100 Mbits/s
1,8.0000-9.0000,4,83.10000000000001,Fluxo 1: 19.800 Mbits/s; Fluxo 2: 9.900 Mbits/s; Fluxo 3: 18.800 Mbits/s; Fluxo 4: 34.600 Mbits/s
1,9.0000-10.0000,4,93.5,Fluxo 1: 19.800 Mbits/s; Fluxo 2: 19.800 Mbits/s; Fluxo 3: 19.300 Mbits/s; Fluxo 4: 34.600 Mbits/s
1,10.0000-11.0000,4,91.9,Fluxo 1: 19.800 Mbits/s; Fluxo 2: 18.200 Mbits/s; Fluxo 3: 20.300 Mbits/s; Fluxo 4: 33.600 Mbits/s
1,11.0000-12.0000,4,90.9,Fluxo 1: 19.800 Mbits/s; Fluxo 2: 18.800 Mbits/s; Fluxo 3: 17.700 Mbits/s; Fluxo 4: 34.600 Mbits/s
1,12.0000-13.0000,4,79.91,Fluxo 1: 7.810 Mbits/s; Fluxo 2: 17.700 Mbits/s; Fluxo 3: 19.800 Mbits/s; Fluxo 4: 34.600 Mbits/s
