id,transferencia,banda
1,10.5,88.1
2,10.9,91.2
3,10.6,89.1
4,10.5,88.1
5,11.2,94.4
6,11.4,95.4
7,10.8,90.2
8,10.8,90.2
9,8.50,71.3
10,4.87,60.0

1,9.13,76.5
2,11.0,92.3
3,9.38,78.6
4,10.6,89.1
5,9.25,77.6
6,10.0,83.9
7,10.6,89.1
8,10.8,90.2
9,8.62,72.4
10,10.6,67.4

1,10.5,88.1
2,11.0,92.3
3,10.9,91.2
4,10.9,91.2
5,10.6,89.1
6,10.4,87.0
7,11.8,98.6
8,10.6,89.1
9,10.8,90.2
10,2.62,37.1

1,10.5,88.1
2,11.0,92.3
3,10.6,89.1
4,10.5,88.1
5,11.2,94.4
6,11.5,96.5
7,10.8,90.2
8,10.8,90.2
9,10.8,90.2
10,2.37,33.4

1,10.5,88.1
2,10.9,91.2
3,10.6,89.1
4,10.5,88.1
5,11.2,94.4
6,11.5,96.5
7,10.8,90.2
8,10.9,91.2
9,10.8,90.2
10,2.37,33.4

1,10.5,88.1
2,10.9,91.2
3,10.6,89.1
4,10.5,88.1
5,11.2,94.4
6,11.5,96.5
7,10.6,89.1
8,10.8,90.2
9,10.8,90.2
10,2.62,36.8

1,10.5,88.1
2,11.0,92.3
3,10.9,91.2
4,10.9,91.2
5,10.6,89.1
6,10.4,87.0
7,11.6,97.5
8,10.6,89.1
9,10.8,90.2
10,2.75,39.0

1,10.5,88.1
2,11.0,92.3
3,10.6,89.1
4,10.5,88.1
5,11.2,94.4
6,11.5,96.5
7,10.8,90.2
8,10.8,90.2
9,10.8,90.2
10,2.37,33.8

1,10.5,88.1
2,10.9,91.2
3,10.6,89.1
4,10.5,88.1
5,11.2,94.4
6,11.5,96.5
7,10.8,90.2
8,10.8,90.2
9,10.6,89.1
10,2.62,37.1

1,2.74,23.0
2,2.42,20.3
3,1.67,14.0
4,3.36,28.2
5,3.36,28.2
6,2.29,19.2
7,4.75,39.8
8,3.80,31.9
9,2.50,21.0
10,5.00,41.9
11,3.75,31.5
12,3.62,30.4
13,5.00,41.9
14,2.88,24.1
15,6.63,55.6
16,3.56,29.9
17,6.06,50.8
18,6.70,56.2
19,4.57,38.3
20,4.57,38.3
21,6.85,57.5
22,6.84,57.4
23,4.62,38.8
24,1.04,9.32

1,2.74,23.0
2,2.42,20.3
3,1.67,14.0
4,3.36,28.2
5,3.36,28.2
6,2.29,19.2
7,4.82,40.4
8,3.72,31.2
9,2.50,21.0
10,5.00,41.9
11,3.75,31.5
12,3.62,30.4
13,5.00,41.9
14,2.88,24.1
15,6.65,55.8
16,3.52,29.5
17,5.92,49.7
18,6.76,56.7
19,4.53,38.0
20,6.75,56.6
21,4.42,37.1
22,6.79,57.0
23,3.59,30.1
24,2.53,20.7

1,2.74,23.0
2,2.42,20.3
3,1.74,14.6
4,3.30,27.7
5,3.30,27.7
6,2.23,18.7
7,4.95,41.5
8,3.77,31.6
9,2.47,20.7
10,5.00,41.9
11,3.75,31.5
12,3.62,30.4
13,5.00,41.9
14,2.76,23.2
15,6.39,53.6
16,3.52,29.5
17,5.86,49.1
18,6.57,55.2
19,4.62,38.7
20,6.85,57.5
21,4.57,38.3
22,6.81,57.1
23,4.54,38.1
24,1.81,16.5

1,2.74,23.0
2,2.42,20.3
3,1.67,14.0
4,3.36,28.2
5,3.36,28.2
6,2.29,19.2
7,4.81,40.4
8,3.72,31.2
9,2.50,21.0
10,5.00,41.9
11,3.75,31.5
12,3.62,30.4
13,5.00,41.9
14,2.88,24.1
15,6.65,55.7
16,3.65,30.6
17,5.93,49.8
18,6.75,56.6
19,4.51,37.8
20,4.55,38.2
21,6.88,57.7
22,6.83,57.3
23,4.59,38.5
24,1.13,10.1

1,2.74,23.0
2,2.42,20.3
3,1.73,14.6
4,3.30,27.7
5,3.30,27.7
6,2.23,18.7
7,4.82,40.4
8,3.85,32.3
9,2.45,20.6
10,5.00,41.9
11,3.75,31.5
12,3.62,30.4
13,5.00,41.9
14,2.76,23.1
15,6.27,52.6
16,3.62,30.4
17,5.77,48.4
18,6.70,56.2
19,4.50,37.8
20,6.93,58.2
21,4.62,38.8
22,6.88,57.7
23,4.50,37.7
24,1.84,16.4

1,2.74,23.0
2,2.42,20.3
3,1.74,14.6
4,3.30,27.7
5,3.30,27.7
6,2.23,18.7
7,5.00,42.0
8,3.78,31.7
9,2.38,19.9
10,5.00,41.9
11,3.75,31.5
12,3.50,29.4
13,5.00,41.9
14,2.85,23.9
15,6.30,52.9
16,3.60,30.2
17,5.76,48.3
18,6.74,56.5
19,4.55,38.2
20,6.84,57.4
21,4.57,38.3
22,6.80,57.1
23,3.95,33.1
24,2.51,20.6

1,2.74,23.0
2,2.42,20.3
3,1.67,14.0
4,3.36,28.2
5,3.30,27.7
6,2.35,19.8
7,4.88,41.0
8,3.72,31.2
9,2.47,20.7
10,4.92,41.3
11,3.75,31.5
12,3.62,30.4
13,5.00,41.9
14,2.83,23.8
15,6.26,52.5
16,3.56,29.9
17,5.86,49.2
18,6.67,55.9
19,3.80,31.9
20,6.85,57.5
21,6.83,57.3
22,4.62,38.8
23,4.51,37.8
24,2.59,21.4

1,2.74,23.0
2,2.42,20.3
3,1.67,14.0
4,3.36,28.2
5,3.36,28.2
6,2.29,19.2
7,4.75,39.8
8,3.81,32.0
9,2.50,21.0
10,5.00,41.9
11,3.75,31.5
12,3.62,30.4
13,5.00,41.9
14,2.88,24.1
15,6.55,54.9
16,3.61,30.3
17,5.93,49.7
18,6.78,56.9
19,3.77,31.6
20,6.03,50.6
21,6.83,57.3
22,4.58,38.4
23,4.58,38.4
24,2.79,22.5

1,2.74,23.0
2,2.42,20.3
3,1.67,14.0
4,3.36,28.2
5,3.36,28.2
6,2.29,19.2
7,4.88,40.9
8,3.73,31.3
9,2.47,20.7
10,5.00,41.9
11,3.75,31.5
12,3.62,30.4
13,5.00,41.9
14,2.79,23.4
15,6.31,52.9
16,3.60,30.2
17,5.84,49.0
18,6.66,55.8
19,4.57,38.3
20,6.84,57.4
21,4.58,38.4
22,6.83,57.3
23,4.58,38.4
24,1.70,15.3
