Execution,Interval,Total Transfer,Average Bandwidth
0,1.0000,17.63,36.92
0,2.0000,12.63,26.48
0,3.0000,11.86,24.88
0,4.0000,11.11,23.30
0,5.0000,9.91,20.80
0,6.0000,11.97,25.10
0,7.0000,10.25,21.50
0,8.0000,10.71,22.48
0,9.0000,10.09,21.15
0,10.0000,11.99,25.12
0,11.0000,10.38,21.75
0,12.0000,10.34,21.70
0,13.0000,11.00,23.10
0,14.0000,9.96,20.88
0,15.0000,12.12,25.43
0,16.0000,10.74,22.52
0,17.0000,10.60,22.25
0,18.0000,11.88,24.95
0,19.0000,12.31,25.80
0,20.0000,10.23,21.45
0,21.0000,10.60,22.25
0,22.0000,10.67,22.40
0,23.0000,9.99,20.95
0,24.0000,9.09,19.05
0,25.0000,11.82,24.80
0,26.0000,10.78,22.60
0,27.0000,9.81,20.57
0,28.0000,12.29,25.80
0,29.0000,10.96,23.00
0,30.0000,10.98,23.05
0,31.0000,10.50,22.05
0,32.0000,10.65,22.35
0,33.0000,10.65,22.35
0,34.0000,10.75,22.55
0,35.0000,9.33,26.07
0,36.0000,5.10,21.40
0,36.0830,2.35,9.45
0,36.7428,2.33,11.20
0,37.1766,1.22,8.73
0,37.1926,2.44,17.20
1,1.0000,17.89,37.48
1,2.0000,13.76,28.82
1,3.0000,10.78,22.62
1,4.0000,9.80,20.57
1,5.0000,10.38,21.77
1,6.0000,13.26,27.82
1,7.0000,11.07,23.23
1,8.0000,10.02,21.02
1,9.0000,9.90,20.78
1,10.0000,11.14,23.38
1,11.0000,10.95,22.98
1,12.0000,10.83,22.73
1,13.0000,9.52,19.98
1,14.0000,10.89,22.85
1,15.0000,11.08,23.25
1,16.0000,10.95,22.98
1,17.0000,11.27,23.65
1,18.0000,11.57,24.27
1,19.0000,11.11,23.30
1,20.0000,10.84,22.75
1,21.0000,9.79,20.54
1,22.0000,10.27,21.55
1,23.0000,11.79,24.73
1,24.0000,10.84,22.75
1,25.0000,10.60,22.25
1,26.0000,11.78,24.73
1,27.0000,9.09,19.07
1,28.0000,11.84,24.82
1,28.9434,0.39,3.48
1,29.0000,7.85,21.97
1,30.0000,10.06,28.10
1,31.0000,10.54,29.47
1,31.8543,1.11,10.90
1,32.0000,6.58,27.65
1,33.0000,11.00,46.10
1,34.0000,11.00,46.15
1,35.0000,10.87,45.60
1,36.0000,11.00,46.15
1,36.7902,1.84,19.60
1,37.1919,4.65,32.70
2,1.0000,17.63,36.92
2,2.0000,13.52,28.30
2,3.0000,10.73,22.52
2,4.0000,10.98,23.02
2,5.0000,9.94,20.82
2,6.0000,12.26,25.73
2,7.0000,11.68,24.50
2,8.0000,12.23,25.68
2,9.0000,8.58,18.00
2,10.0000,12.09,25.38
2,11.0000,10.33,21.68
2,12.0000,10.47,21.95
2,13.0000,10.78,22.62
2,14.0000,10.46,21.95
2,15.0000,10.35,21.68
2,16.0000,10.63,22.32
2,17.0000,10.67,22.38
2,18.0000,12.20,25.60
2,19.0000,9.83,20.62
2,20.0000,12.00,25.18
2,21.0000,10.24,21.48
2,22.0000,11.98,25.12
2,23.0000,10.19,21.38
2,24.0000,9.52,20.00
2,25.0000,10.34,21.70
2,26.0000,11.59,24.33
2,27.0000,9.92,20.83
2,28.0000,11.39,23.88
2,29.0000,10.20,21.40
2,30.0000,10.53,22.07
2,31.0000,11.77,24.70
2,32.0000,11.32,23.75
2,33.0000,10.78,22.60
2,34.0000,7.20,20.13
2,34.4617,2.07,11.90
2,35.0000,8.72,24.40
2,36.0717,1.18,9.25
2,36.0000,8.24,34.60
2,36.8268,0.69,6.95
2,37.2124,4.72,32.70
3,1.0000,32.88,34.48
3,2.0000,24.87,26.10
3,3.0000,23.74,24.93
3,4.0000,23.74,24.91
3,5.0000,22.11,23.18
3,6.0000,21.75,22.82
3,7.0000,23.18,24.32
3,8.0000,20.09,21.10
3,9.0000,22.93,24.06
3,10.0000,21.30,22.35
3,11.0000,22.10,23.18
3,12.0000,23.80,24.97
3,13.0000,19.18,20.13
3,14.0000,20.80,21.83
3,15.0000,22.61,23.73
3,16.0000,22.99,24.12
3,17.0000,21.43,22.48
3,18.0000,20.35,21.33
3,19.0000,22.04,23.12
3,20.0000,20.44,21.43
3,21.0000,22.72,23.82
3,22.0000,22.50,23.61
3,23.0000,19.91,20.89
3,24.0000,22.44,23.55
3,25.0000,20.18,21.18
3,26.0000,22.62,23.74
3,27.0000,15.20,21.27
3,28.0000,14.31,24.00
3,28.3405,1.25,7.84
3,29.0000,18.54,31.12
3,30.0000,24.62,41.32
3,31.0000,20.61,34.60
3,32.0000,21.99,36.92
3,33.0000,20.49,34.40
3,34.0000,17.74,37.23
3,35.0000,9.37,39.30
3,35.3516,2.21,13.70
3,35.4962,2.20,12.30
3,36.0000,15.13,63.45
3,37.1847,9.17,65.00
3,27.2124,2.07,14.30
3,27.5188,2.39,13.20
3,33.6468,0.93,12.10
3,37.0000,8.25,69.20
3,38.0000,8.12,68.20
3,38.6201,2.43,32.80
5,1.0000,18.26,38.27
5,2.0000,12.64,26.48
5,3.0000,12.08,25.35
5,4.0000,10.19,21.38
5,5.0000,9.73,20.40
5,6.0000,13.12,27.52
5,7.0000,10.17,21.35
5,8.0000,10.77,22.60
5,9.0000,10.36,21.75
5,10.0000,10.69,22.43
5,11.0000,10.53,22.10
5,12.0000,10.59,22.20
5,13.0000,11.96,25.10
5,14.0000,10.77,22.60
5,15.0000,10.25,21.50
5,16.0000,10.90,22.88
5,17.0000,10.81,22.68
5,18.0000,10.66,22.38
5,19.0000,12.26,25.70
5,20.0000,10.88,22.82
5,21.0000,10.43,21.88
5,22.0000,10.75,22.55
5,23.0000,10.25,21.50
5,24.0000,9.71,20.38
5,25.0000,13.31,27.93
5,26.0000,10.52,22.05
5,27.0000,10.58,22.20
5,28.0000,10.76,22.57
5,29.0000,10.98,23.05
5,30.0000,10.96,23.00
5,31.0000,10.53,22.10
5,32.0000,10.49,22.02
5,33.0000,10.89,22.85
5,34.0000,10.53,22.10
5,35.0000,7.96,22.27
5,36.0042,2.58,10.80
5,36.0000,8.13,22.73
5,37.0171,0.95,7.83
5,37.1780,0.90,6.43
5,37.1941,1.08,7.60
6,1.0000,17.38,36.45
6,2.0000,13.51,28.32
6,3.0000,10.83,22.73
6,4.0000,12.36,25.93
6,5.0000,9.62,20.20
6,6.0000,11.32,23.75
6,7.0000,11.44,24.00
6,8.0000,9.70,20.35
6,9.0000,11.26,23.62
6,10.0000,11.20,23.50
6,11.0000,10.78,22.62
6,12.0000,9.58,20.10
6,13.0000,11.08,23.25
6,14.0000,11.02,23.12
6,15.0000,10.83,22.73
6,16.0000,10.95,22.98
6,17.0000,10.96,23.00
6,18.0000,9.69,20.32
6,19.0000,10.40,21.82
6,20.0000,12.77,26.80
6,21.0000,10.45,21.93
6,22.0000,11.44,24.02
6,23.0000,11.39,23.90
6,24.0000,9.38,19.68
6,25.0000,12.02,25.20
6,26.0000,9.52,19.98
6,27.0000,11.77,24.70
6,28.0000,6.90,19.30
6,28.5435,2.20,12.00
6,29.0000,8.14,22.77
6,30.0000,12.36,34.60
6,31.0000,9.62,26.93
6,32.0000,12.12,33.93
6,33.0000,10.99,30.77
6,34.0000,9.62,26.93
6,35.0000,12.24,34.27
6,36.0000,6.87,28.85
6,36.4478,1.20,6.93
6,36.9624,0.88,7.67
6,37.1879,4.05,28.60
7,1.0000,17.89,37.48
7,2.0000,13.64,28.57
7,3.0000,10.96,23.00
7,4.0000,9.86,20.67
7,5.0000,9.98,20.93
7,6.0000,12.52,26.27
7,7.0000,11.20,23.50
7,8.0000,11.08,23.25
7,9.0000,9.58,20.10
7,10.0000,11.08,23.25
7,11.0000,9.83,20.62
7,12.0000,10.89,22.85
7,13.0000,11.02,23.12
7,14.0000,11.01,23.10
7,15.0000,10.76,22.57
7,16.0000,10.58,22.20
7,17.0000,11.26,23.62
7,18.0000,9.92,20.80
7,19.0000,12.03,25.23
7,20.0000,10.81,22.68
7,21.0000,10.28,21.57
7,22.0000,11.53,24.18
7,23.0000,11.34,23.77
7,24.0000,10.39,21.80
7,25.0000,5.78,16.17
7,25.6288,4.96,25.60
7,26.0000,8.65,24.20
7,27.0000,9.62,26.93
7,28.0000,12.36,34.60
7,29.0000,9.49,26.57
7,30.0000,10.99,30.77
7,31.0000,12.36,34.60
