Execution,Interval,Total Transfer,Average Bandwidth
7,32.0000,7.99,22.37
7,33.0000,12.36,34.60
7,34.0000,10.99,30.77
7,35.0000,9.49,26.57
7,36.0000,12.36,34.60
7,37.1963,1.81,6.33
7,37.1962,1.14,7.99
8,1.0000,16.00,33.55
8,2.0000,12.61,26.48
8,3.0000,12.49,26.23
8,4.0000,10.46,21.98
8,5.0000,11.38,23.88
8,6.0000,12.73,26.68
8,7.0000,10.80,22.68
8,8.0000,8.40,17.62
8,9.0000,11.32,23.75
8,10.0000,11.27,23.65
8,11.0000,11.07,23.23
8,12.0000,11.21,23.50
8,13.0000,10.90,22.88
8,14.0000,11.22,23.55
8,15.0000,9.78,20.52
8,16.0000,11.89,24.93
8,17.0000,10.28,21.57
8,18.0000,10.01,21.00
8,19.0000,12.03,25.25
8,20.0000,11.84,24.85
8,21.0000,9.91,20.79
8,22.0000,8.30,17.43
8,23.0000,13.16,27.60
8,24.0000,10.47,21.98
8,25.0000,11.54,24.23
8,26.0000,10.16,21.33
8,27.0000,10.66,22.38
8,28.0000,7.47,20.90
8,28.7512,3.53,16.90
8,29.0000,7.60,21.27
8,30.4410,6.20,36.10
8,30.0000,5.86,24.60
8,31.0000,6.34,26.55
8,32.0000,10.87,45.60
8,33.0000,11.00,46.15
8,34.0000,11.00,46.10
8,34.4498,0.21,3.92
8,35.0000,6.75,56.60
8,36.0000,11.00,92.30
8,37.2663,10.20,67.30
